-18 15:52:19,096 | DEBUG | guess_hr_01 |   [Request Step 2] Вход в Глобальный Семафор HH (limit=10) | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,096 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:hh_api_global' (limit=10)... | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,097 | DEBUG | guess_hr_01 |   [Request Step 3] Подготовка заголовков и отправка... | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,097 | DEBUG | guess_hr_01 | 📡 [HH Client] Отправка GET на https://api.hh.ru/negotiations/interview... | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,104 | INFO | guess_hr_01 | 🧪 [TestMode] Игнорируем кандидата 'Софья Борисова' (не в списке разрешенных) | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'consider', 'chat_id': '5298557681'}
guess_hr_bot  | 2026-05-18 15:52:19,419 | DEBUG | guess_hr_01 | 📊 [HH Client] Получен ответ 200 | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,420 | DEBUG | guess_hr_01 |   [DEBUG] Для вакансии 132326437, страница 0: Нет данных или items пусты. Завершаю пагинацию. | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,420 | DEBUG | guess_hr_01 | ✅ Суммарно найдено 0 откликов в папке 'interview'. | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,420 | DEBUG | guess_hr_01 | 💾 [Guess(Юлия)] Фиксация изменений в БД... | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,422 | DEBUG | guess_hr_01 | ✅ [Guess(Юлия)] Обработка завершена. | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,422 | DEBUG | guess_hr_01 | ✅ [HH Poller] Цикл опроса завершен. | ctx: {}
guess_hr_bot  | 2026-05-18 15:52:19,423 | INFO | guess_hr_01 | 📁 HH_API: Перемещение отклика 5303602025 в папку 'consider'... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,423 | DEBUG | guess_hr_01 | 🔑 [HH Client] Проверка токена для Guess(Юлия)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,423 | DEBUG | guess_hr_01 |   [Request Step 1] Вход в Rate Limiter: rate_limit:hh_api_rate | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,423 | DEBUG | guess_hr_01 |   [RateLimiter] Проверка лимита 'rate_limit:hh_api_rate' (limit=100)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
